Projection_Step,Predicted_Timestamp_ms,Predicted_X,Predicted_Y,Predicted_Z,Predicted_Depth_m,Base_Vx_mps,Base_Vy_mps,Base_Vz_mps,Current_U_mps,Current_V_mps,Current_W_mps,Composite_Speed_knots
1,340391.26386285893,6883.453415413241,368.4836765539992,-1557.0908570658673,1557.0908570658673,37.84578687130529,-26.4625169063006,-10.115372892097081,-0.05000091988216925,-0.10814473477235031,-0.007173665039424974,91.93762736066834
2,352375.38468536007,7335.973634709342,50.04254539201622,-1678.3911457655552,1678.3911457655552,37.84578687130529,-26.4625169063006,-10.115372892097081,-0.08580213830262245,-0.10940571351185575,-0.006378256467535926,91.88307135741456
3,364359.5055078612,7788.243980997217,-268.4065862330825,-1799.6960573817476,1799.6960573817476,37.84578687130529,-26.4625169063006,-10.115372892097081,-0.1066524795106171,-0.11007330216806555,-0.006764009963592299,91.85158827615216
4,376343.62633036234,8240.028769808056,-586.9404930227032,-1920.9808014560617,1920.9808014560617,37.84578687130529,-26.4625169063006,-10.115372892097081,-0.1471692169690439,-0.11714725993080223,-0.005081154610500603,91.79573638290839
5,388327.7471528635,8693.87379273502,-904.9308572593328,-2042.3054366961283,2042.3054366961283,37.84578687130529,-26.4625169063006,-10.115372892097081,0.024744446672954022,-0.07179203020293301,-0.008409823133059482,92.01466006883766
6,400311.8679753646,9147.718815661983,-1222.9212214959625,-2163.630071936195,2163.630071936195,37.84578687130529,-26.4625169063006,-10.115372892097081,0.024744446672954022,-0.07179203020293301,-0.008409823133059482,92.01466006883766
7,412295.98879786575,9601.563838588947,-1540.9115857325921,-2284.9547071762613,2284.9547071762613,37.84578687130529,-26.4625169063006,-10.115372892097081,0.024744446672954022,-0.07179203020293301,-0.008409823133059482,92.01466006883766
8,424280.1096203669,10055.40886151591,-1858.9019499692217,-2406.279342416328,2406.279342416328,37.84578687130529,-26.4625169063006,-10.115372892097081,0.024744446672954022,-0.07179203020293301,-0.008409823133059482,92.01466006883766
9,436264.230442868,10509.253884442875,-2176.892314205851,-2527.6039776563944,2527.6039776563944,37.84578687130529,-26.4625169063006,-10.115372892097081,0.024744446672954022,-0.07179203020293301,-0.008409823133059482,92.01466006883766
10,448248.35126536916,10963.098907369838,-2494.882678442481,-2648.928612896461,2648.928612896461,37.84578687130529,-26.4625169063006,-10.115372892097081,0.024744446672954022,-0.07179203020293301,-0.008409823133059482,92.01466006883766
11,460232.4720878703,11416.943930296802,-2812.8730426791108,-2770.2532481365274,2770.2532481365274,37.84578687130529,-26.4625169063006,-10.115372892097081,0.024744446672954022,-0.07179203020293301,-0.008409823133059482,92.01466006883766
12,472216.59291037143,11870.788953223766,-3130.8634069157406,-2891.577883376594,2891.577883376594,37.84578687130529,-26.4625169063006,-10.115372892097081,0.024744446672954022,-0.07179203020293301,-0.008409823133059482,92.01466006883766
13,484200.71373287257,12324.63397615073,-3448.8537711523704,-3012.9025186166605,3012.9025186166605,37.84578687130529,-26.4625169063006,-10.115372892097081,0.024744446672954022,-0.07179203020293301,-0.008409823133059482,92.01466006883766
14,496184.8345553737,12778.478999077694,-3766.8441353890003,-3134.227153856727,3134.227153856727,37.84578687130529,-26.4625169063006,-10.115372892097081,0.024744446672954022,-0.07179203020293301,-0.008409823133059482,92.01466006883766
15,508168.95537787484,13232.324022004657,-4084.83449962563,-3255.5517890967935,3255.5517890967935,37.84578687130529,-26.4625169063006,-10.115372892097081,0.024744446672954022,-0.07179203020293301,-0.008409823133059482,92.01466006883766
16,520153.076200376,13686.169044931621,-4402.82486386226,-3376.87642433686,3376.87642433686,37.84578687130529,-26.4625169063006,-10.115372892097081,0.024744446672954022,-0.07179203020293301,-0.008409823133059482,92.01466006883766
17,532137.197022877,14140.014067858585,-4720.81522809889,-3498.2010595769266,3498.2010595769266,37.84578687130529,-26.4625169063006,-10.115372892097081,0.024744446672954022,-0.07179203020293301,-0.008409823133059482,92.01466006883766
18,544121.3178453782,14593.859090785549,-5038.80559233552,-3619.525694816993,3619.525694816993,37.84578687130529,-26.4625169063006,-10.115372892097081,0.024744446672954022,-0.07179203020293301,-0.008409823133059482,92.01466006883766
19,556105.4386678793,15047.704113712512,-5356.795956572149,-3740.8503300570596,3740.8503300570596,37.84578687130529,-26.4625169063006,-10.115372892097081,0.024744446672954022,-0.07179203020293301,-0.008409823133059482,92.01466006883766
20,568089.5594903805,15501.549136639476,-5674.786320808779,-3862.174965297126,3862.174965297126,37.84578687130529,-26.4625169063006,-10.115372892097081,0.024744446672954022,-0.07179203020293301,-0.008409823133059482,92.01466006883766
